day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2026-06-18,0.661451928461597,0.06456571191177131,-0.3543228732088224,1.0,2.0
2026-06-19,0.15777182985167945,1.0,1.357173671534804,1.0,1.0
2026-06-24,1.5302841691047417,1.0,-0.2672612419124244,1.0,1.0
2026-06-25,-0.19297072000746837,0.963355433403016,0.5488311244525002,1.1604738080057562,2.0
2026-06-26,1.4987970189428244,1.0,-0.31303926382764913,1.0,1.0
2026-06-30,-0.3867409293067368,1.0,2.6631281908619076,1.0,1.0
2026-07-06,0.7071067811865475,1.0,-0.7071067811865475,1.0,1.0
2026-07-09,-0.4273321062168554,1.0,-0.2717477745777457,1.0,1.0
2026-07-14,-1.6021098222385106,1.0,-0.5882401981013247,1.0,1.0
2026-07-16,-0.30917529490689216,0.46128770490594967,-0.3776652530470413,0.029114315266545076,7.0
